Comments,Label
 enaku unmaikum aluha wantu thirunangaigal theiwangal    ,7
 superstar vijay dai arivuketta polu ithu thappu pavam da amanda na gay relationship virukkuren  ethirkkiren,0
 ugka smile cute a iruku     ,7
 anna i am waiting na    ,7
 yanda tamilnadu la evvalavo pirachana iruku athalam vittudu ethu oru pirachana vanthu kettu iruka,7
 night fulla mater ku alaiuradhu day fulla pichaiku alaiuradhu idhula louds paaru potta p   a   ,0
 l v  innum konja varshathula yaaru agadhi aah sutha poradhunu therium thozhar   ,7
 bala kumar  wat ur asking    st  olunga kealviya kealunga ,7
 unaku aids vandhuruchi pola olunga iru   ,7
 pradeep  kodi per iruka maataanga nu nenaikireengala  ellaarum ungala maadri aaluku bayandhutu open aa solla maatraanga  india la     crore la    crore lgbt thaan   aana adha open aa ellaarkitayum solradhu enna maadri konjam per thaan  ,2
 yena public la pesa pudikalaya  dei arivu ellathavane   athunaala thana epdi comments ta pesitu ne eruka  epo veliya vaaya thorantha yellarum unnaiya serupala adipanga  bayanthagoli,6
 h raja neenga peasunga   ivangaluku unagala pathi theriyal ya,7
      antha paiyyan straight  girl friend iruku  avan gay illai  avana prank pannala  ithuku peru harrasment  it s ver bad  totally disgusting    ,3
 sivaprakasam selvi  meenu kutty   ,7
 bro    aaya kalaigal pathi solluga,7
 poda potta punda dhevudiya makane,6
 rumba kastma iruku     oru public places poga mudiyala,7
 all i can say is wow                     ,7
 manickam anbu  ammaavai pathi pesurathu sari kidaiyaathu ,2
 tharan tamilanda  yanda sombu  ethuikku munnadi jayalalitha karunanithi sethappa yella channel pottu kaattuna   seri avungala vedu onnume illatha nehru thambi sethatha koda avnoda sadangi fulla pottu kaattidu irunthanuga   apala intha sombu yenga pochunu therilaye    poi paaruda india glitz and galatta voice namma tamilar ooda local you tube chennel da sombu     athuvum avanuga fulla cinema paathitha pesidu iruppanuga    epatha konja naala arasiyal ulla pesa varanuga    antha chennal ulla normal pesuravan la irunthu md vara tamilanda sombu     seeman oru leader varan avanuikku youngsters follow irukku yentha channel podala so evan pottu view vaaankidu money sambarichudan        yethavathu forward msg paathudu short video evanachu edit panni poduvan atha paathudu inga vanthu kambu sutha kudathu poi arasiyal na yennanu paaru     ,2
 edho  its all but nu ennamo varum   sariya therla    ivanga name ah search pannunga varum,7
 go s  one elder bro,7
 nama sff theriyum nenaikira bro,7
 dei venna admin ithu karu palaniyappan ku illa da sunni,6
 intha transgender romba nallavangala irukanga,7
 excellent bro keep it up        ,7
 yella brahmins yum ketta yennam ullavanga illa  olachi sapduravangalum irukanga   but nalla education irunthum sila brahmins mandayila sanathantha thooki somakirargal   avangala matha mudiyathu  kandukkama kadanthu poganum   over ah thappu panna nalla thandanaya kodukanum  ,7
 ,7
 sabarinath gnanakaran  apna number  do,7
 babu natarajan  i love you,7
 best engineering works best engineering works  pongada loosu pasanagala    ,7
 mari eswari  mamaiyar marumaga sandai its hypothetical   yepo sanda poduvanga and samadhanam avanga nu solla mudiyathu          mudinja alavukku pethavanga vetla irunthu suruttitu vanthudanum   parents yevalo kadan pattalum paravalla   enna mind set ithu   ithunga enna dashukku padichuthu    itha unga feminism ah   ithoda previous episode ah periyar pathurukkanum  ,2
      yarupa nee engirunthu vanthaaaa ,7
 nee naan aval               ohh twins sa normal la pathutigla  papa ku age ena sister niga oru ala valskiglu,7
 neengo nalla irkanum na unga family nalla irkanum   ,7
