Comments,Label
"	உங்கள் பேச்சை எதிர்பார்த்தேன். நல்ல விளக்கம்  அருமை.  நியாயமான முறையில் பதிவு செய்துள்ளீர்கள்.  நீண்ட காலம் வாழ்வதற்கு வாழ்த்துக்கள்.",Hope-Speech
"	எச். ராசாவால் இராமருக்கே  இழிவு. இவர் எல்லாம் இராமர் பரம்பரையாம்.",None-of-the-above
"	கல்யாணம்னு  வரும்போது தான் சாதி முக்கியம் எங்களுக்கு",None-of-the-above
"	Tentu Kottai ஐயா நான் தமிழ் இந்து.",None-of-the-above
"	Tamil selvan  அடே தேவடியாவுக்கு பிரந்தவனே பச்சத் தேவடியாவுக்கு பிரந்தவனே ... கொம்மா புண்டைல பூள பார்க் பண்ணுறேன்.என் சுன்னிய ரொம்பவும் ரசிச்சு ரசிச்சு ஊம்புரீயேடா எச்சப்புன்ட Tamil Selva...",Homophobia
"	bro நீங்க பேசறதெல்லாம் கேக்க கேக்க இரவு துக்கம் வரமாட்டங்குது",None-of-the-above
"	S_  B_  Narmada.D  பெற்ற பிள்ளையை படிக்க வைத்து aalakuvathu ஒவ்வொரு petrorin கடமை",None-of-the-above
"	பாஜக மற்றும் அது சார்ந்த அமைப்புகள் இந்து மற்றும் பிரமாண சமூகத்தின் கட்சியே அல்ல...",None-of-the-above
"	தேவிடியா; பயா  H   Raja",Misandry
"	+பிரபல நாட்டாமை என் வீட்டுக்கு வா சுண்ணி ஊம்பி விடு",Homophobia
"	ரகுராம் ராஜன் நேர்மையான மனிதர்.",None-of-the-above
"	திரு.ஆனந்த சீனிவாசன் அவர்கள் சிறந்த மனிதர் OK_handwaving_handwaving_handwaving_hand",None-of-the-above
"	பாரபட்சம் தாண் அதில் என்ன சந்தேகம்???",None-of-the-above
"	நீச்சல் குள மரணம் | ஜெயலலிதாவால் தப்பியது PSBB | ஆனந்த் சீனிவாசன் | PSBB SCHOOL | Tamil Kelvi - அருமையான நேர்காணல்.  நான் மிகவும் மதிக்கும் திரு ஆனந்த் சீனிவாசன் அவர்கள் - எனது பக்கத்தில் பகிர்கிறேன்.  நன்றி Tamil Kelvi",None-of-the-above
"	எவன்டா நீ கேவலமான ஈனப்பிறவி ..கேடுகெட்ட கேனப்பயலே ...எச்சப்பயலே",Misandry
"	சனாதான தர்மத்துக்கு தான் தமிழர்கள் எதிரி.இந்துவுக்கு அல்ல.உயர்வு தாழ்வு கூடாது.",None-of-the-above
"	மதுவந்தி ... பிராமண குலத்தின் சாபக்கேடு ! .... இவர் பேசுவது எல்லாம் உளறல் ... பிதற்றல் ... இவர் வாய்மூடி இருக்கட்டும் !",None-of-the-above
"	இவனும் பிராமணர் ஜாதிக்கு வெட்கக்கேடு.",None-of-the-above
"	வைரமுத்து அவர்கள் வாயை மூடிக்கொண்டு இருந்திருந்தால் இவ்வளவு அசிங்கப்பட்டு; இருக்க வேண்டியதில்லை; கடவுளைப் பற்றி யார் தப்பாக பேசினாலும் அவர்கள் தண்டனை அனுபவிப்பார்கள்",Counter-speech
"	பயித்தியாம் இந்த எச்சா",None-of-the-above
"	தமிழ் நாடு உனக்கு சோறு போடு து",None-of-the-above
"	ராஜா எதற்காக மற்ற மதத்தினரை பேசுகிறான்.... இவன்தான் தாசியின் மகன்",Misandry
"	; தமிழர்களே",None-of-the-above
"	உண் அம்மா தோவிடியா புணடமோன",Misogyny
"	Prestha Maavan ; நண்பரே!! கனடாவிலும்",None-of-the-above
"	நம்ம‌ புருஷ்  தான் அப்படினு நினைச்சோம் பரவாயில்லை நிறைய பேர் இருக்கிறார்கள்",None-of-the-above
"	அப்போ சன் டிவி",None-of-the-above
"	eliyathamby kuncharalingam ; நல்லவிதமாகப் போய்க்கொண்டிருக்கும் நாம் தமிழர் தம்பிகளை உசுப்பிவிட்டு இந்துக்களுக்கு எதிராக அச்சில் ஏற்றமுடியாத படுமோசமான ஆபாச  வார்த்தைகளால் இழிவாகப் பேசத்தூண்டுவதே மதிமாறன்",None-of-the-above
"	ஸ்ரீ A  face_with_rolling_eyesthinking_face",None-of-the-above
"	ஏன் நாய் மாதிரி கத்துறாண் எச்ச",None-of-the-above
"	அப்படியே எல்லாரும் செத்த பிறகு யார் மிச்சம் இருப்பாங்க",None-of-the-above
"	ஐயா சீனிவாசன்  அவர்களே அருமை யாக விளக்கம் தந்தீர்கள் ....வாழ்க பல்லாண்டு.........",None-of-the-above
"	இது பெண்மையை பயம் முறுத்தும் புரிதலற்ற பேச்சு....",Counter-speech
"	முஸ்லீம்ட சு...ய ஊம்பாட்டி உணக்கு தூக்கம் வராதாடா தே... மவன.",Xenophobia
