Comments,Label
Thappu chesina vaallaku vanike kaadu inka anni modalithavi  . Enta kaalam students life tho aadukuntu crores earn chedtharu illegal ga.,hate
Dhusta chaathuryam!  Meeru ilantivi enni chesina em pikalerra!,hate
Vetakaram super. Govt ki siggu seram radu. Endukante siggu seram manushulaku mathrme vuntundani na abiprayam.,hate
Only rajakiyam ga vadukovatanike ee dharidrapu arestlu,hate
Katam hogaya narayana pedda bokada college,hate
TELUGU DESAM PARTY ONLY GOOD ADMINISTRATION IN THE WORLD,non-hate
Nenu aite Jabardast show chudadam manesanu TV 5 ABN channels lo debates vchinaka ,non-hate
Jagan meeda jaganke visvasam ledu anduke ea loffer panulu,hate
Students tho adukovtam thappu,non-hate
Srinivasa gaaru endukee panikamaalina debate... Aa sambaki paniledu... Meeku jeetam kavaali ..makenti gola... Anni exams happy ga jariginai... problem meeu creat cheyyavaddu,hate
Meru mi media published cheyadam vallane elanti idea lu vastai vallaki,non-hate
"One of the Great Leader, A Big Salute Sir.,,",non-hate
"Mogavalla face luu mathram manchiga chupistharu kanni asallu panni chaseena leady face mathram blur chastharuu..
Edhi ee society andhukaa makky ""HE TEAM"" kavalli ",hate
Paniki malina chana,hate
"Rosayya garu is a real, Good and true politician. History lo oka great leader Rosayya garu. No words to praise you sir. Rip Rosayya garu",non-hate
Telangana gujju gulam kadu,hate
Disevulera mundamopi,hate
"Anta manchi job chestu govt ki tala vanchi bratakadaniki siggundali,",hate
Down To Earth Man Rosaiah Garu,non-hate
Jagan is unstoppable ,non-hate
"RK eagerly waiting to demoralise Jagan, that is his intention",hate
Vedi nathinakodaka,hate
Vizag News reporter overaction chestunadu,hate
Revanth Reddy garu has very clarity in his thoughts... excellent way of expressing himself ,non-hate
Mahesh smile ...pure soul,non-hate
Kanipinche devudu CBN,non-hate
Die hard fan frm Kerala  Nenu choosina pedha actor uh Tollywood lo Pawan Garuu,non-hate
Anna....Nee lanti vaale kavali .... TDPki,non-hate
Babulake Baabu Super star Mahesh Baabu ,non-hate
Jai Pawan Kalyan Garu. Pawan Ji in Andhra and Modi Ji in centre. Perfect Combo🇮🇳🇮🇳  I am a big fan of sir from Delhi. I wish we had someone like him in Delhi.,non-hate
Sir ycp ki balle gunapam dimputunavu,hate
"Harish Rao garu adiginatlu, Kaleswaram project pai, CBI inquiry veyali",non-hate
Gounu leduga anduke intlo tongunnadu bayataki vaste ummivestarani,hate
Pavan Kalyan gari nayakatvam vardillali jai power star ,non-hate
Sagam kaalchina chutta peekalaku brand amsador,hate
Bjp central lo vachi yemi chesinru chepu,hate
PK navu janmmalo ward member kuda Kaledu,hate
Lancham antunaru anam garu...... inthaku mundu your government ilagey chesinda...,hate
Jagan eppatiki CM avvaledu raasi pettukoo....ha ....,hate
Kirrak movie cinema gurinchi bad ga anakandi jai mahesh anna,non-hate
Ka pal garu miru super,non-hate
Hehe mla kuda gelavaledu kanisam gurtu kuda ledu ento pikuta antunnadu,hate
No 1 loafer. Jai TDP-Lokesh,hate
Asalu ka paul time ivvakudadhu amitashaku andhukante ayana 120 deshala pm lanu ayana kalisaru,non-hate
Vammo mamulodivi kadu swamy Nuvvu,non-hate
Manalli yavadu ra apeddi,non-hate
Poraaa..Red Flower...,hate
He has more talking power Aina daivajanulato anta easy kadu mari,non-hate
Mahesh babu nilabadithe chalu memu chusathsam bayya super dailoge ,non-hate
Idira pual power anty ippudina telusukondra,non-hate
Ramu garu correct  ga chepparu sir,non-hate
Nuvvu bjp b party ra houle,hate
Ayanni okasari kodithey meeru laksha sarlu chupisthunnaru emkavali meeku,hate
Employees ki antha salary lu vasthuna chalatledhu ante mari nonemployees ami chey,hate
tc rate penchadam kadu...udyamalu cheyakunda... employees kastapadithe development avutundi...,hate
Ni jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir. Pawan thana cinema dabbulu pedhavallaki pancharu,non-hate
Aallu eellu andaru okkate,non-hate
Etv news Ani thesesi chandrana news Ani pettandi baguntundhi,non-hate
Miru kada ra janalni mosam chesedhi ,hate
NENUKUDA.PEDHAVADENE.UPADHE.LEDHU.VUDHYOGAM.LEDHU.PANULU.EKUVA.DHORUKADAMLEDHU,non-hate
Ee sari Nennu ne boss ni chayputho kodataru plz hold til 2024,hate
Eppudina ardaminda power cuts ap lone kaadu india mottam edhe problem,non-hate
Asalem matladuthunnavo neekanna ardham ayithundha ,hate
Ede ap lo aite pachha media pachha party diniki kuda jagan ne karanam ane vallu,hate
America Agent Jelensky....deshanni nashanam chesthunnadu.,hate
Power Lo undi evaru ra vedava,hate
Torch lite Kuda Leni rojula fake news vadu kavalane chesind,hate
Prajalu andaru sachinanka peekedemiledu,hate
 amarica andatho madam perigi kotukuntundi urikine,hate
CHETTHAPLAN.  RAAKSHASHATHVAM,hate
Anna nuvu chepthuntevoka emotion vasthundanna,non-hate
"India an Russia are best friendly countries evaru dislike chesaro vallu pak , america nd china ollu ",non-hate
Easy vochina success ni scam antarau.. Emi chepparu bhayya.. Love it,non-hate
Niyamtruthva leaders time konni rojule.,non-hate
