Comments,Label
 smart subash evangala mari alunga ulagathaya azichiruvangalae repent agunam evanga,0
 ne solrathu correct than avanga enna sonalum natakuma  rompa over thimurula atuthunga  enaku evanga pidikala  film la than nallavangala pakuran  unmaiyula apdila iruka maturanga  ,0
 yaa muthavi unna patha pombala mari illa ambala marium illa,0
 advice lam nallan tan eruku  appe un magalai   enna mathiri oru rendungketanuku kalyanam pannikudupiya  ,0
                                                                                                        potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta,0
 naama kaasu poduradha modhalla niruthanum  somperinga eallaarum kaithatta aarampuchuttaanga,0
 ivan thirungai ila rowdy payan,0
 naatuku rombae mukkiyam     unnae podi nu solradhah illae poda nu solradhah     nu therilae      confused,0
 smart subash evangala mari alunga ulagathaya azichiruvangalae repent agunam evanga,0
             serupala adippen aravani,0
 sornam lakshmi  nanum oru thirungai dhan marriage panni ruken  oru sila thirunangaigal romba over aaa  pannikinu  alaiuranga   ,0
 paava kathaigal thangam padathutu parithavapattu kanner vitten aandavan yen ipdi vachurukannu     but itha patha erichala varuthu chai  ,0
 serpala adikanum      enga ponanulm ithuka tholla thanga mudila    ,0
 ore visayam pidikadhu     sabam vduvangle    ,0
 unakku venuna    nee pannittu poda podi    intha samoogam eppadi irukka vendum endru nee sollatha      ,0
 porambokku munda thevidiya paiyyan or thevidiya munda      items,0
 appa samy intha ombothu interview ellam upload panathiga pa chinna pasanga ellam kettupoividuvanga,0
                  avan oru ali pola iruku    athaan ipdie pesuran ji     vidunga,0
 oru sila thirunangaikalal anaithu thirunangaikalukum  ketta paru   avanga vaiyuthu polappuku epdi pandranga pavam   ,0
 night fulla mater ku alaiuradhu day fulla pichaiku alaiuradhu idhula louds paaru potta p   a   ,0
 paava kathaigal thangam padathutu parithavapattu kanner vitten aandavan yen ipdi vachurukannu     but itha patha erichala varuthu chai  ,0
 ivaluga yella ore marri irukkaluga iclvalthan vera video la paththen,0
 oru mayirum theriyala indha loosu koodhikku aana yellathayayum karachi kudichamari sooththa aatti aattinu badhil solludhu idhaiyellam oru mayirunnu nenachi petti yedukkaradha vittuttu ava iduppula yetti oru odhaya vitta moodittu summa iruppa dappa koodhi,0
 ithumari alungala sumava thali vekuranga        ,0
 meera mithun transgender ah    ,0
 ivunga bless pannuna nalla varuvangagradhu chumma    ,0
 naatuku rombae mukkiyam     unnae podi nu solradhah illae poda nu solradhah     nu therilae      confused,0
 yedukurathu picha item nai oru manusana ipadilam kevalama pesura paru,0
 g konjam anna tower ku poi paruga g avaga thola thagamudiyala,0
 ethu alam rampaa over          entha naigali    adichi anapanum evargal thoulai thanka modiyala,0
 pichaai edupavarkaal kuda amma ayya thaayee en mariyathaai udaaan ketkirarkaaal ana evarkaaloooooo athatti miraatti kasaai parikum nabarkaaal      engalluku sama urimai vendiyum endru ketaal matrum patraathu athukku thakunthaar pol nadanthu kolla vendumm     evarkaal edam erukkum thaaapa sariseithaaal pothum seri aki vidum     andraadum nadakum sambavangal ethu   eraavu pakaaal ena kastapatu poraaadi kasu serthaaal athai pudukngara varum kevalamana piravigaaal,0
 indha nai ku       veara    veala     illa indha character ampalaya   pompalaya ney tereyala    taan peasuradu tappanadu nu kuda tereyama   loosu matre peasiki  irukudhu naiii naiii     ,0
 unggallukkum      thirunanggaiggalukkum      enna vithiyasam                ,0
 intha   pundaitta   kavalthurai kaasu vaangittu  kantukkama vitrum   athan avanga rajiyam nadakkuthu  kavalthurai vedekkai paarkuthu      kavalugku theva kaasu thuttu mani mani       ,0
 ivunga bless pannuna nalla varuvangagradhu chumma    ,0
 advice lam nallan tan eruku  appe un magalai   enna mathiri oru rendungketanuku kalyanam pannikudupiya  ,0
 chi     ivanga mela respect suthama poiduchi    ipo lam ivangala patha irritate avudhu   ,0
 chi     ivanga mela respect suthama poiduchi    ipo lam ivangala patha irritate avudhu   ,0
 ivangale m    vechi sutu sakuna enavaam ,0
 chi     ivanga mela respect suthama poiduchi    ipo lam ivangala patha irritate avudhu   ,0
 ithungala serupala adichi jaila talanum   potaigala,0
 f    program dai ponuga correct ah peasuna kuda support pannalam loose maari peasura avaluku poi support panra poda neeum unnoda programum,0
 ohh idhu ponna      pakka payan maari iruku,0
   mundaingala motha thooki pottu vettanum  ,0
 appa samy intha ombothu interview ellam upload panathiga pa chinna pasanga ellam kettupoividuvanga,0
 ithungala serupala adichi jaila talanum   potaigala,0
 govt evangaluku salugai thandhu endha nelaimai aiyidichi thu therikkae        seruppa vidavendiya edathula vidanum      endhamadri   lulu matra thirunangai ku yella kettaperu,0
 naatuku rombae mukkiyam     unnae podi nu solradhah illae poda nu solradhah     nu therilae      confused,0
 ivangalaa   police la   pidichikodukanum,0
 ningal penna ka irundhu pennai nesikuren yenrdru sonnalum  ungal pavananai yan aan pom ullathu    yan moodi valarka villai,0
 bro i am boy bro transgender ra maruradhu nalla dha bro ennaku maranum nu asa illa but na marivena nu romba depression na irukku bro ennala mudiyala oru   month ve romba depression ve irukku bro plzzz bro ennaku oru solution thaga bro plzzzz     ,0
 mein ha beach la idhunga thola thangave mudiyala    respect ha kuduikka kudathu  ithungala pavame pakka koodadhu,0
 pichaai edupavarkaal kuda amma ayya thaayee en mariyathaai udaaan ketkirarkaaal ana evarkaaloooooo athatti miraatti kasaai parikum nabarkaaal      engalluku sama urimai vendiyum endru ketaal matrum patraathu athukku thakunthaar pol nadanthu kolla vendumm     evarkaal edam erukkum thaaapa sariseithaaal pothum seri aki vidum     andraadum nadakum sambavangal ethu   eraavu pakaaal ena kastapatu poraaadi kasu serthaaal athai pudukngara varum kevalamana piravigaaal,0
 yedukarathu picha athula gethu veraa,0
 ithu pombalaya aambalaya mental mari pesuthu komba,0
  no ariel adithal kaja kaja kujua kuja,0
 nalla thirunangai     but intha chennai unit train la romba arajagam pandranga   nalla thirunanga ellarukkum hats off  ,0
 oru sila thirunangaikalal anaithu thirunangaikalukum  ketta paru   avanga vaiyuthu polappuku epdi pandranga pavam   ,0
 ithumari alungala sumava thali vekuranga        ,0
 ippdi iruntha approm eppdi intha thevadiya pasangala mathikkratham intha   pundaingala oru time busla vittu veluthu irukken ivlo per vedikkai pakringa mmm    ,0
 dei iduga ena vena pantum aana buskula matum idugala vidama pana nala irukum      idu pakathula thoda vandale kayla iruka ela kaasayum na bayathula kuduthren       ,0
 kaila porul pottu po tholla pannuna rendu sorugu sorugi vitru pakkathulaiye varamataainga   ,0
 ivunga bless pannuna nalla varuvangagradhu chumma    ,0
 oru video vukay ippadeya idhunga attagasam perum attagasam,0
 indha madhiri pesura thirunangai galai arrest pannanum,0
 ivangale m    vechi sutu sakuna enavaam ,0
 otha thu    ennala porumaiya intha video va paakka kooda mudiyala     irritating mental    periya mairu maathiri pesuthu saniya,0
 loosu mari pesura r pesuran,0
 muruganantham  g nanum ungala madhiri dha nenacha bro but they are fake trans unmayana trans vera level,0
   kuda arasiyal da saami mudila,0
