Comments,Label
thappu chesina vaallaku vanike kaadu inka anni modalithavi   enta kaalam students life tho aadukuntu crores earn chedtharu illegal ga,1
dhusta chaathuryam  meeru ilantivi enni chesina em pikalerra,1
vetakaram super govt ki siggu seram radu endukante siggu seram manushulaku mathrme vuntundani na abiprayam,1
only rajakiyam ga vadukovatanike ee dharidrapu arestlu,1
katam hogaya narayana pedda bokada college,1
telugu desam party only good administration in the world,0
nenu aite jabardast show chudadam manesanu tv   abn channels lo debates vchinaka ,0
jagan meeda jaganke visvasam ledu anduke ea loffer panulu,1
students tho adukovtam thappu,0
srinivasa gaaru endukee panikamaalina debate aa sambaki paniledu meeku jeetam kavaali makenti gola anni exams happy ga jariginai problem meeu creat cheyyavaddu,1
meru mi media published cheyadam vallane elanti idea lu vastai vallaki,0
one of the great leader a big salute sir,0
"mogavalla face luu mathram manchiga chupistharu kanni asallu panni chaseena leady face mathram blur chastharuu
edhi ee society andhukaa makky he team kavalli ",1
paniki malina chana,1
rosayya garu is a real good and true politician history lo oka great leader rosayya garu no words to praise you sir rip rosayya garu,0
telangana gujju gulam kadu,1
disevulera mundamopi,1
anta manchi job chestu govt ki tala vanchi bratakadaniki siggundali,1
down to earth man rosaiah garu,0
jagan is unstoppable ,0
rk eagerly waiting to demoralise jagan that is his intention,1
vedi nathinakodaka,1
vizag news reporter overaction chestunadu,1
revanth reddy garu has very clarity in his thoughts excellent way of expressing himself ,0
mahesh smile pure soul,0
kanipinche devudu cbn,0
die hard fan frm kerala  nenu choosina pedha actor uh tollywood lo pawan garuu,0
annanee lanti vaale kavali  tdpki,0
babulake baabu super star mahesh baabu ,0
jai pawan kalyan garu pawan ji in andhra and modi ji in centre perfect combo🇮🇳🇮🇳  i am a big fan of sir from delhi i wish we had someone like him in delhi,0
sir ycp ki balle gunapam dimputunavu,1
harish rao garu adiginatlu kaleswaram project pai cbi inquiry veyali,0
gounu leduga anduke intlo tongunnadu bayataki vaste ummivestarani,1
pavan kalyan gari nayakatvam vardillali jai power star ,0
sagam kaalchina chutta peekalaku brand amsador,1
bjp central lo vachi yemi chesinru chepu,1
pk navu janmmalo ward member kuda kaledu,1
lancham antunaru anam garu inthaku mundu your government ilagey chesinda,1
jagan eppatiki cm avvaledu raasi pettukooha ,1
kirrak movie cinema gurinchi bad ga anakandi jai mahesh anna,0
ka pal garu miru super,0
hehe mla kuda gelavaledu kanisam gurtu kuda ledu ento pikuta antunnadu,1
no   loafer jai tdplokesh,1
asalu ka paul time ivvakudadhu amitashaku andhukante ayana   deshala pm lanu ayana kalisaru,0
vammo mamulodivi kadu swamy nuvvu,0
manalli yavadu ra apeddi,0
poraaared flower,1
he has more talking power aina daivajanulato anta easy kadu mari,0
mahesh babu nilabadithe chalu memu chusathsam bayya super dailoge ,0
idira pual power anty ippudina telusukondra,0
ramu garu correct  ga chepparu sir,0
nuvvu bjp b party ra houle,1
ayanni okasari kodithey meeru laksha sarlu chupisthunnaru emkavali meeku,1
employees ki antha salary lu vasthuna chalatledhu ante mari nonemployees ami chey,1
tc rate penchadam kaduudyamalu cheyakunda employees kastapadithe development avutundi,1
ni jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir pawan thana cinema dabbulu pedhavallaki pancharu,0
aallu eellu andaru okkate,0
etv news ani thesesi chandrana news ani pettandi baguntundhi,0
miru kada ra janalni mosam chesedhi ,1
nenukudapedhavadeneupadheledhuvudhyogamledhupanuluekuvadhorukadamledhu,0
ee sari nennu ne boss ni chayputho kodataru plz hold til  ,1
eppudina ardaminda power cuts ap lone kaadu india mottam edhe problem,0
asalem matladuthunnavo neekanna ardham ayithundha ,1
ede ap lo aite pachha media pachha party diniki kuda jagan ne karanam ane vallu,1
america agent jelenskydeshanni nashanam chesthunnadu,1
power lo undi evaru ra vedava,1
torch lite kuda leni rojula fake news vadu kavalane chesind,1
prajalu andaru sachinanka peekedemiledu,1
 amarica andatho madam perigi kotukuntundi urikine,1
chetthaplan  raakshashathvam,1
anna nuvu chepthuntevoka emotion vasthundanna,0
india an russia are best friendly countries evaru dislike chesaro vallu pak  america nd china ollu ,0
easy vochina success ni scam antarau emi chepparu bhayya love it,0
niyamtruthva leaders time konni rojule,0
samsaram kadu adi vebhicharam,1
nice baaga dhimpav anchor bro,1
mari aa sangathi thelisi antha madham yendhukura niku vaaru garu antunnaavgnanodhayamyndhi koddhiga,1
 maa president ga gelipiste yedo peekutanu annadu yemi peekaadu yedyna cheyalante manchi manasu vundali megastar chesinavi chudandi apdbaandhavudu andarivaduannayya jai chiranjeeviandariki mere  god father ,1
one and only mega star potthi leyruraleyru,0
andaru ide panlo unnattunnaru veellu vammmo meeru rechagodithe rechiporu meeplans panikirav pondi,1
chiranjeevi gaaru meeru eppudu greate mi manasu mi saayam mi kalmasham leni vyakthitwam mi prema mundu evvaru sariporu annayya ee vishnu lantollu vandala mandochina mi kaali gotiki kuda sariporu annayya valla kullu vallane thagalapettestundi,0
paul mosapoyadurgv ellipoyaduanchor biskit ayadu gist of this non sense,1
official ga   acres ante unofficial ga enno okko family member peru meedha enni ekaraalu unnayo raitu bandhu okkati chalu,1
real joker re unnadu kada malli sir ,1
mallareddy dookudu cenima lo bramhi character correct set aithadu,0
madyalo aa sound effects matram next level ,0
e endaku aa godugu padutunnaduitlaanti vaadini ekkada unchalo akkada unchaliycp vallu ade chesaru,1
prudhvi sir very good man nowsir thana thappu thelisikunnaru,0
sir ee discussion lu vaddu sir power star image poddi and mana dabba manam kottukunnattu untundi,1
