Comments,Label
 enaku unmaikum aluha wantu thirunangaigal theiwangal    ,None-of-the-above
 superstar vijay dai arivuketta polu ithu thappu pavam da amanda na gay relationship virukkuren  ethirkkiren,Transphobic
 ugka smile cute a iruku     ,None-of-the-above
 anna i am waiting na    ,None-of-the-above
 yanda tamilnadu la evvalavo pirachana iruku athalam vittudu ethu oru pirachana vanthu kettu iruka,None-of-the-above
 night fulla mater ku alaiuradhu day fulla pichaiku alaiuradhu idhula louds paaru potta p   a   ,Transphobic
 l v  innum konja varshathula yaaru agadhi aah sutha poradhunu therium thozhar   ,None-of-the-above
 bala kumar  wat ur asking    st  olunga kealviya kealunga ,None-of-the-above
 unaku aids vandhuruchi pola olunga iru   ,None-of-the-above
 pradeep  kodi per iruka maataanga nu nenaikireengala  ellaarum ungala maadri aaluku bayandhutu open aa solla maatraanga  india la     crore la    crore lgbt thaan   aana adha open aa ellaarkitayum solradhu enna maadri konjam per thaan  ,Counter-speech
 yena public la pesa pudikalaya  dei arivu ellathavane   athunaala thana epdi comments ta pesitu ne eruka  epo veliya vaaya thorantha yellarum unnaiya serupala adipanga  bayanthagoli,Misandry
 h raja neenga peasunga   ivangaluku unagala pathi theriyal ya,None-of-the-above
      antha paiyyan straight  girl friend iruku  avan gay illai  avana prank pannala  ithuku peru harrasment  it s ver bad  totally disgusting    ,Homophobia
 sivaprakasam selvi  meenu kutty   ,None-of-the-above
 bro    aaya kalaigal pathi solluga,None-of-the-above
 poda potta punda dhevudiya makane,Misandry
 rumba kastma iruku     oru public places poga mudiyala,None-of-the-above
 all i can say is wow                     ,None-of-the-above
 manickam anbu  ammaavai pathi pesurathu sari kidaiyaathu ,Counter-speech
 tharan tamilanda  yanda sombu  ethuikku munnadi jayalalitha karunanithi sethappa yella channel pottu kaattuna   seri avungala vedu onnume illatha nehru thambi sethatha koda avnoda sadangi fulla pottu kaattidu irunthanuga   apala intha sombu yenga pochunu therilaye    poi paaruda india glitz and galatta voice namma tamilar ooda local you tube chennel da sombu     athuvum avanuga fulla cinema paathitha pesidu iruppanuga    epatha konja naala arasiyal ulla pesa varanuga    antha chennal ulla normal pesuravan la irunthu md vara tamilanda sombu     seeman oru leader varan avanuikku youngsters follow irukku yentha channel podala so evan pottu view vaaankidu money sambarichudan        yethavathu forward msg paathudu short video evanachu edit panni poduvan atha paathudu inga vanthu kambu sutha kudathu poi arasiyal na yennanu paaru     ,Counter-speech
 edho  its all but nu ennamo varum   sariya therla    ivanga name ah search pannunga varum,None-of-the-above
 go s  one elder bro,None-of-the-above
 nama sff theriyum nenaikira bro,None-of-the-above
 dei venna admin ithu karu palaniyappan ku illa da sunni,Misandry
 intha transgender romba nallavangala irukanga,None-of-the-above
 excellent bro keep it up        ,None-of-the-above
 yella brahmins yum ketta yennam ullavanga illa  olachi sapduravangalum irukanga   but nalla education irunthum sila brahmins mandayila sanathantha thooki somakirargal   avangala matha mudiyathu  kandukkama kadanthu poganum   over ah thappu panna nalla thandanaya kodukanum  ,None-of-the-above
 ,None-of-the-above
 sabarinath gnanakaran  apna number  do,None-of-the-above
 babu natarajan  i love you,None-of-the-above
 best engineering works best engineering works  pongada loosu pasanagala    ,None-of-the-above
 mari eswari  mamaiyar marumaga sandai its hypothetical   yepo sanda poduvanga and samadhanam avanga nu solla mudiyathu          mudinja alavukku pethavanga vetla irunthu suruttitu vanthudanum   parents yevalo kadan pattalum paravalla   enna mind set ithu   ithunga enna dashukku padichuthu    itha unga feminism ah   ithoda previous episode ah periyar pathurukkanum  ,Counter-speech
      yarupa nee engirunthu vanthaaaa ,None-of-the-above
 nee naan aval               ohh twins sa normal la pathutigla  papa ku age ena sister niga oru ala valskiglu,None-of-the-above
 neengo nalla irkanum na unga family nalla irkanum   ,None-of-the-above
 go to tamil gun or skytamil,None-of-the-above
 tmp army    heart pls ,None-of-the-above
      thala    neeye   ippovo appovo nu irukka        ,Misandry
 babu natarajan  hi i m bottom,None-of-the-above
 enaku manithanum manasum than mukkiyam jathiye uruvakkunathe manithan than,None-of-the-above
 karthi shiva  nan chennai macha,None-of-the-above
 prabhu prabhu apo neenga sollunga len paapam what s life ndu bro ,None-of-the-above
 mahesh please da enala mudiyala en kita vada daily sagaran,None-of-the-above
 madhavaraj madhavaraj  whatsapp va bro,None-of-the-above
 harihara shankar  bro phone number varala bro,None-of-the-above
 abilash abilash  hii ur watsapp number,None-of-the-above
 idhula kodumanai ennana   pala poli thirunangaigalum sutha aarambuchitanga     vela vetti illadha ambalinga kooda saree pottukittu indha maadhiri oora yemathikitu thiriyiranga      ,Misandry
 anbu s anbu  illaye ma,None-of-the-above
 ivlo days ah kattuna build up lam intha lockdown naasam akiduche  ungaludaya thozhiku aatharavu thaarungal nanbargale  ,Transphobic
 bro antha akka roomba varusam nalla valanum,None-of-the-above
 h raja nai nee avan sunne uombda nai yanndoy nabi s a w oudaey patte yenda pesrayn naiye,Misandry
 neenga panrathu nallathuthan bro bt p      nu poidathinga avangaloda manasa romba kasta paduthidum    bro  ,None-of-the-above
 yen ma aangaluku pesuren nu nenaikathinga     pengaluku varathachani kodukaruthey perumaiya nenacha samugamum oru kaalathula irunthuchu so athu orey naal la maaridathu     but ipo most youngsters varathachana illama marriage pannikura mananilai irunthalum avanga parents vidrathu illa kuripa amma     so intha ulagathula pengaluku pengaley oru sila idathula ethir ah irukura varaikum ipadi thaan irukum,None-of-the-above
 anish  ayio   apdi solladheenga    adhukum nammala adika varuvaanga   ,None-of-the-above
 just stupids non sense just avoid these videos lusu kooooooos,None-of-the-above
 anna super video evlaa nalla irrk theyrimaa indha video      nigu sethadru solla bodhu avgaa vuna kaga danc panngu andha our moment super        anna super video i waiting part  ,Hope-Speech
 relatives     sa marriage panna   genetics   problem pathi  sollu ga madan gowri,None-of-the-above
 pongada parathesigala it s very very very wrong itha panravanga pichakara karumanga    ,Homophobia
 rasini lina malaysia la ena panrega sis,None-of-the-above
 super   super     super,None-of-the-above
 will com enakku vendam    ungalukku arithaal ungal thaayarukku kondungal ,None-of-the-above
 sga manidhara endha vagailaium ungala thunburuthaadha oruthara naainu izhuvu paduthura ungala enna sollalam  poi pozhappa paarunga thamizha,None-of-the-above
 adra adra chlm en inam chlm neenu,None-of-the-above
 dai green satta thevidiya payale,Misandry
 avana oru mairum pudunga mudila     news oru kedu  ponga da dea   ,Misandry
 kudisekiram tamilnadu china controll poidum   ,Xenophobia
 ayy ar  eppadi chat panniga dear  en ronga  kaddutu enakke  puriyala ,None-of-the-above
 god will surely help you ll,None-of-the-above
 unakaga na erukan nu soluraga paru        vara leval   ,None-of-the-above
 well said seeman sir    ,None-of-the-above
 pongadaa neengalum unga jaathiyum kadaisi varaikum cast religion solliye savanga,None-of-the-above
 enna mayiru culture nature ivanga ellarum periya idhu muttalhal,None-of-the-above
 mari eswari  neenga panakkara ponnu dana apdi dana pesuvinga,None-of-the-above
 kadhal than mukkiyam jathiye ella,None-of-the-above
 poda h cha  naaye,Misandry
 sariyana tharunathil sariyana nabaridam interview ungal aalumai super anna,None-of-the-above
 babu natarajan  epa veli nadu,None-of-the-above
 kalai arasan  apdina ponna kalyaanam pannaama inoru paiyana kalyaanam pannu    baadu,Homophobia
 sandy r  pesitu irukangala sappi avala oombu da oomba porandha naatheri    vandhutan poola aatikitu      ,Misandry
 china eanna mo plan pannuthu,Xenophobia
 kavalaigal maranthu sirikka tamil medium pasanga channel           worldaa yarum panni pakatha prank          vera level bro ne           waiting part   ,None-of-the-above
 oru ponna ah vida alaga irukinga,None-of-the-above
 prankunu therinji parkkumpothey azhugaya varuthu suppar bro,None-of-the-above
 ella avanga avanga istam  ana mathavangaluku thappu mattu panna kudatha,None-of-the-above
 akka nenga ella roomba pavam akka    ,None-of-the-above
 ithalam nambura maari illa    but good msg bro    even looks like drama,None-of-the-above
 mersal kanmani    naanum adhedhan solren   ,None-of-the-above
 pratap oh nee hero poster ku paal abhishekam panra aala  adhu thaan nee pesuradhu ellam padam dialogue irukku  yenna seiradhu  nee padam paakurapa naan nalla books padichaen  unna madri periya porupu parupu  kidaiyadhu ,None-of-the-above
 cassia     illa sister paavm  avanga amma appa manasa purinjukkada ivalungala thitradula tappe illa  ivalungala paathu oru sila nalla ponnungalum kettu poiravaanga sister yosinga,Misogyny
 big big salute sr nice message,None-of-the-above
 bro avanga super carrecter anna  ,None-of-the-above
 copyright ku yenna pannanum bro,None-of-the-above
 xmsrks  inga reply panra elarume hindusdhan     ,None-of-the-above
 rasini lina u frm ma,None-of-the-above
 nanba naa salem thann prank pannumnu aasa yennai sethukovingla  ennoda name rahul  phone number             salem town kitchipalayam,None-of-the-above
 summa naanum adichu pathen en purusan thirupi adichutanga,None-of-the-above
 chaina ai alithe thiravendum vera vali illa   ,Xenophobia
 oaththa antha kundu thakkale paththaka   ,Misogyny
 pitchakara moothevinga train la ukkara uda maatithunga parathesinga thuu  ithungaluku daily azha vendiyatha iruku,Transphobic
 vignesh s  hi  dude ,None-of-the-above
 ani anitha      qualification enna ,None-of-the-above
 paari sol aairam yannaigaluku samam,None-of-the-above
 poda nee oruru punda yechakala raja,Misandry
 ithungalah thirunangaigal ala panam pidingigal chuuuuuu chiiiiiiii,Transphobic
 neengal brogithathain mel karuthu yenna ,None-of-the-above
 akka semma cute ah irukinga   ,None-of-the-above
 ellorum ungala madhiri irundha endha lower cast upper cast problem varadhu,None-of-the-above
 yeanda echakalai raja thevadiya mavanae    vibacharigalukelam tamilnu paera  nee thavadiya mavanda potta pundai,Misandry
 nick vujic pathi video podunka bro  google la search panni parunka  nick vujic pathi,None-of-the-above
 nee ena karumaththavena panu ana over acting matum panadha pls   pakka suththama sakikala,None-of-the-above
 loose kooda interveiw panreenga  kuruttu koothikku innoru koothi kekkutha loose,Misogyny
 aj aj  kastam vara vaipu iruntha solren,None-of-the-above
 samma bro vara level comment,None-of-the-above
 andha grey t shirt full hand ku manasula periya aan azhagan nu nenaipu       i support lgbtq  d,Misandry
 hari haran  correct thaan   namma aalunga adha seyyalaye,None-of-the-above
 ippa poi kelungaley  na sollavey illanu solluvan    p    a paiyan  ,Misandry
                    yaara ivan     deiii oyaala okka    enada pesra    dalit punda mavan dhana nee   onnu pallan ah iruppa    ila sakkili ya iruppa   ,Xenophobia
 s ranjith s ranjith  hi pa enna pandra ga,None-of-the-above
 dai    unakkum america kum sanda na nee avana adi    avan unna adikkattum   naanga ennada pannoam    nadathungada     nadathunga   ,Xenophobia
 vera level neenga akka    ,None-of-the-above
 nee naam gay sax pannalam,Homophobia
 ithuku mela ethavathu parapuna na serupala adipen  summa summa ethavathu parapi vittutu irukanuga    ,Xenophobia
 gargantua  yathulium oru kanniyam venddum inka neriya peru bisexual than irrukan irrukainga but veliya sollurathu illa,None-of-the-above
 nalla vazhkai thunai amaiya vazhthukkal bro as like you    ,None-of-the-above
 yuvaraj elumalai  apa neenga ponnukku kalyanam ana ava appa kadan yethukka koodadhunu soldreenga neenga sonnadha neengale poi akiteenga   idhuku mela ungakitta naan chat panna maten oorukkudhan ubadhesam neengal ,Counter-speech
                              sonthama ulaika mudiyatha thanda chorugalthan vara thatchanai kekkum,Misandry
 ethu sari ethu thappu nu mudivu panna ivanga yaru,Counter-speech
 jathi sayam poosuvathu thavaru jathikupin thavaruseipavargal olinthukolvathu thavaru,None-of-the-above
 compramise enbadhu wife  husband ruvarukkum irukkanum,None-of-the-above
 part   karikkadai prank pannunga thambi,None-of-the-above
 enaku oru doubt iva aambala ya ila pombala ya ,Misogyny
 bro part   video enga bro plzzz  sollunga bro,None-of-the-above
 first media va stop pannanum    media illana yavanum saagamaattan da   ,None-of-the-above
 ivalukaluku  lam kalyanam nadakakudathu,Misogyny
 enna episode number solluka please,None-of-the-above
 entha mari aravaningala seruppala adikkanum entha mari prachanai ella edathulayum erukku pothumakkalukku pathukappu    illa,Transphobic
 maga matt a man a,None-of-the-above
 pu bg apo ni evanuku poranthavan da kandara ooli mavane,Misandry
 please anna part   post panuga,None-of-the-above
 echa raja dai nee oru devit mavan da kanjava yen da ban pani irukanga kotha,Misandry
 sam david  you are made in china  ,Xenophobia
 podi punda mavale poi thooku maati saavu lesbian kandarolinga chaik,Homophobia
 mani selvaraj  adhu unna mari pottadhan da papanga poda,Misandry
 bro u didn t answer my question      ,None-of-the-above
 romba mokka poduraru gopi anna intha episode la ,None-of-the-above
 storm breaker  bro neenga inoruthar ah jaathi ya vechi asingama pesringa   aana neenga jaathiya en olikka matikranga  innum jaathi kola pandrangle nu kekringa    enaku therinju unga moolaila etho kolaru irukunu nenaikra     ivlo kevalama matam thatti pesrathu oruthara athuvum jaathiya vechu      apdi jaathi jaathi nu suthuringala   antha jaathiyalaiye neenga saavinga oru naal     apo purium ungaluku,Misandry
 anandha babu  summa than bro,None-of-the-above
 illuminaties na yarunu konjam explain pannuga bro  time irundha ,None-of-the-above
 dinesh dinesh  venkatesan from pudukottai,None-of-the-above
 h a raja poi comment box poi paru nee mike ha parthale unaku fever varum da,Misandry
 mathuvaanthi says ungal vamsa viruthikku br,None-of-the-above
 lite ah kalanga vechutingle da  ,None-of-the-above
 v  unga pool yanna colour,None-of-the-above
 nee un amma ke pirakkala po da baadu   ,Misandry
 indha gay culture lam india ku avasiyama     already naadu romba kettu poi kedakku        oru male dog ku kooda    female dog odathan sex vechikanum endra arivu irukum     but these gay people are so pathetic       chai    aravaani ah porakka vendiyavangalam   gay ah porandhurukkunga   idhan unmai,Homophobia
 sundaramoorthy s  and pradeep  rendu perum bayanthutinga pola  ,None-of-the-above
 sugumaran g  i m ok u phone number,None-of-the-above
 enna pa muslim christian hindhu yella solli yachu,None-of-the-above
 jaya suriya   phone number,None-of-the-above
 sakotharaa neer ilankayil orunthirukka vendum andap paakkiyam illaamal pochche ,None-of-the-above
 kaavalthurai ivarkalidam pichai edupathal kandu kolvathillai,Transphobic
 na   th padikra apo school uniform la en p   pidichi amukinanga kootathula,None-of-the-above
    jadhi veri pudichavane       ayya  va ayya     alinju poga poringada   ,None-of-the-above
 china va alichuta matter mudinchurum    ,Xenophobia
 black sari ka supr a soninga,None-of-the-above
 murali dana periya pavam        naragam tha pova,None-of-the-above
 super bro semma    but innonu sollava enga vettu pullaya school serkum pothe aven munnaditha caste certificate irukanu kettanka   apove avanuku caste na ennanu solli thara vendiyathu irunthathu   yen jathiya solla enagu vekkam kedayathu    jathi vanthathu thappuna athu namma mela illa   oon moothathairum yen moothathairum apove piruchu vachutanga   neenga sollalam namma maralanu but vaaipe illa tamilnadula panam serura edathula fulla kandipa jathi keppanga    ,None-of-the-above
 bro time travel pathi solunga,None-of-the-above
 s k  virunthalikku porantha thevidiya payale   unna ungomma evankuu paduthu pethu  unna ungomma evankuu paduthu  ava pundaya kilichi anupiren  un pondatti ya anuppi vai    thevidiya payale,Misandry
 super movie ida pathu neriya per thiruthu vanga nu numburan  love is love,Hope-Speech
 vatican poola oomburaa potta pasanagalala dhan prachanaye,Xenophobia
 black pearl  hey no no  tamil payan than,None-of-the-above
 prince vegeta  aprom ennode gf eh vere yaaraacchum kalyaanam pannattum nu vida soldriya    nara bali kudukkurathaiye otthukkure manushangga irukkurappo     lgbt eh accept pannikkiravanggga mattum irukka koodaathunaa epdi ,Counter-speech
 boyo mic pocket la irrukum,None-of-the-above
 srivatsan srivataan i am ganesh guy my no           ,None-of-the-above
 agal lantern  onnu illa youtube la oruttara navadu avangaluku support panni video pottangala,Counter-speech
 ithuku admk torture paravailla    cha   ,None-of-the-above
